pair,horizon,test_rows,mae,directional_acc,ic
USDINR,1,804,0.001544,0.576873,0.182214
USDINR,3,802,0.002750,0.580769,0.200672
USDINR,5,800,0.003593,0.603316,0.156009
USDINR,10,795,0.004954,0.658163,0.523206
USDINR,21,784,0.006223,0.665380,0.566438
EURINR,1,804,0.003333,0.588308,0.236316
EURINR,3,802,0.005839,0.600998,0.212068
EURINR,5,800,0.007408,0.615000,0.275650
EURINR,10,795,0.010186,0.649057,0.547124
EURINR,21,784,0.013533,0.785714,0.696211
JPYINR,1,804,0.004554,0.582090,0.225019
JPYINR,3,802,0.008178,0.558603,0.251809
JPYINR,5,800,0.010595,0.577500,0.215539
JPYINR,10,795,0.014160,0.711950,0.575163
JPYINR,21,784,0.018791,0.753827,0.662531
